event_type,job,task,machine,status,priority
TASK,4121195473,0,3407946425.0,5,10,1
TASK,6252173578,1,3407946425.0,1,2,2
TASK,4121195473,0,3407946425.0,1,10,3
TASK,4121195473,0,3407946425.0,5,10,4
TASK,4121195473,0,3407946425.0,1,10,5
TASK,4121195473,0,3407946425.0,5,10,6
TASK,4121195473,0,3407946425.0,1,10,7
TASK,4121195473,0,3407946425.0,5,10,8
TASK,4121195473,0,3407946425.0,1,10,9
TASK,4121195473,0,3407946425.0,5,10,10
TASK,4121195473,0,3407946425.0,1,10,11
TASK,4121195473,0,3407946425.0,5,10,12
TASK,4121195473,0,3407946425.0,1,10,,13
TASK,4121195473,0,3407946425.0,5,10,14
TASK,4121195473,0,3407946425.0,1,10,15
TASK,4121195473,0,3407946425.0,5,10,16
TASK,4121195473,0,3407946425.0,1,10,17
TASK,4121195473,0,3407946425.0,5,10,18
TASK,4121195473,0,3407946425.0,1,10,19
TASK,4121195473,0,3407946425.0,5,10,20
TASK,4121195473,0,3407946425.0,1,10,21
TASK,4121195473,0,3407946425.0,5,10,22
TASK,4121195473,0,3407946425.0,1,10,23
TASK,4121195473,0,3407946425.0,5,10,24
TASK,4121195473,0,3407946425.0,1,10,25
TASK,6252564884,0,3407946425.0,1,9,26
TASK,6252564884,0,3407946425.0,4,9,27
TASK,4121195473,0,3407946425.0,5,10,28
TASK,4121195473,0,3407946425.0,1,10,,29
TASK,5664371117,124,3668262859.0,2,0,30
TASK,6250245734,3914,3668262859.0,2,2,31
TASK,6221861800,18497,3668262859.0,2,0,32
TASK,6219557576,267,3668262859.0,2,0,33
TASK,6219557576,267,3668262859.0,1,0,34
TASK,6221861800,18497,3668262859.0,1,0,35
TASK,4121195473,0,3668262859.0,1,10,36
TASK,4121195473,0,3668262859.0,5,10,37
TASK,4121195473,0,3668262859.0,1,10,38
TASK,4121195473,0,3668262859.0,5,10,39
TASK,6252771958,233,3668262859.0,1,2,40
TASK,4121195473,0,3668262859.0,1,10,,41
TASK,4121195473,0,3407946425.0,5,10,42
TASK,4121195473,0,3407946425.0,1,10,43
TASK,4121195473,0,3407946425.0,5,10,44
TASK,4121195473,0,3407946425.0,1,10,45
TASK,4121195473,0,3407946425.0,5,10,46
TASK,4121195473,0,3407946425.0,1,10,47
TASK,4121195473,0,3407946425.0,5,10,48
TASK,4121195473,0,3407946425.0,1,10,49
TASK,4121195473,0,3407946425.0,5,10,50
TASK,4121195473,0,3407946425.0,1,10,51
TASK,4121195473,0,3407946425.0,5,10,52
TASK,4121195473,0,3407946425.0,1,10,53
TASK,4121195473,0,3407946425.0,5,10,54
TASK,4121195473,0,3407946425.0,1,10,,55
TASK,4121195473,0,3407946425.0,5,10,56
TASK,4121195473,0,3407946425.0,1,10,57
TASK,4121195473,0,3407946425.0,5,10,58
TASK,4121195473,0,3407946425.0,1,10,59
TASK,6253083382,0,3407946425.0,5,2,60
TASK,4121195473,0,3407946425.0,5,10,61
TASK,4121195473,0,3407946425.0,1,10,62
TASK,4121195473,0,3407946425.0,5,10,63
TASK,4121195473,0,3407946425.0,1,10,64
TASK,4121195473,0,3407946425.0,5,10,65
TASK,4121195473,0,3407946425.0,1,10,66
TASK,4121195473,0,3407946425.0,5,10,67
TASK,4121195473,0,3407946425.0,1,10,,68
TASK,6253291072,995,1094369.0,2,0,69
TASK,5285926325,0,1094369.0,1,9,70
TASK,5285926325,0,1094369.0,3,9,71
TASK,515042969,2,1094369.0,1,0,72
TASK,515042969,2,1094369.0,1,0,73
TASK,515042969,2,1094369.0,1,0,74
TASK,515042969,2,1094369.0,1,0,75
TASK,515042969,13,1094369.0,1,0,76
TASK,515042969,13,1094369.0,1,0,77
TASK,515042969,26,1094369.0,1,0,78
TASK,515042969,26,1094369.0,1,0,79
TASK,515042969,26,1094369.0,1,0,80
TASK,515042969,26,1094369.0,1,0,81
TASK,515042969,26,1094369.0,1,0,82
TASK,515042969,26,1094369.0,1,0,83
TASK,515042969,26,1094369.0,1,0,84
TASK,515042969,23,1094369.0,1,0,85
TASK,515042969,26,1094369.0,1,0,86
TASK,515042969,17,1094369.0,1,0,87
TASK,515042969,17,1094369.0,1,0,88
TASK,515042969,23,1094369.0,1,0,89
TASK,515042969,23,1094369.0,1,0,90
TASK,515042969,23,1094369.0,1,0,91
TASK,515042969,23,1094369.0,1,0,92
TASK,515042969,23,1094369.0,1,0,93
TASK,515042969,23,1094369.0,1,0,94
TASK,515042969,26,1094369.0,1,0,95
TASK,515042969,26,1094369.0,1,0,96
TASK,515042969,15,1094369.0,1,0,97
TASK,515042969,15,1094369.0,1,0,98
TASK,515042969,15,1094369.0,1,0,99
TASK,515042969,15,1094369.0,1,0,100
TASK,515042969,15,1094369.0,1,0,101
TASK,515042969,26,1094369.0,1,0,102
TASK,515042969,23,1094369.0,1,0,103
